id,test,question,answer,review_question
245,What colour is a/an? A/an... is?,Does it have six legs?,Yes it does.      No it doesn't,False
246,What colour is a/an? A/an... is?,How many legs does it have?,It has...,False
247,What colour is a/an? A/an... is?,Is there anything on the table?,Yes there is.     No there isn't,False
248,What colour is a/an? A/an... is?,Is the table in the living room?,Yes it is        No it isn't,False
249,What colour is a/an? A/an... is?,Do you have a bed (cama)?,Yes I do.          No I don't,False
250,What colour is a/an? A/an... is?,What colour is it?,It's...,False
251,What colour is a/an? A/an... is?,Is it comfortable?,Yes it is        No it isn't,False
252,What colour is a/an? A/an... is?,Does it have any drawers?,Yes it does.      No it doesn't,False
253,What colour is a/an? A/an... is?,Is there a pillow (almohada) on it?,Yes there is.     No there isn't,False
254,What colour is a/an? A/an... is?,Does it have a mattress (colchon)?,Yes it does.      No it doesn't,False
255,What colour is a/an? A/an... is?,Is the mattress soft or hard?,It's...,False
256,What colour is a/an? A/an... is?,Is there a bedside table next to your bed?,Yes there is.     No there isn't,False
257,What colour is a/an? A/an... is?,Ask me I have red glassses.,Do you have red glasses?,False
258,What colour is a/an? A/an... is?,Ask me I have a friend.,Do you have a friend?,False
259,What colour is a/an? A/an... is?,Ask me if my friend is a man or a woman.,Is your friend a man or a woman?,False
260,What colour is a/an? A/an... is?,Ask me how old my friend is.,How old is your friend?,False
261,What colour is a/an? A/an... is?,Ask me if she's married.,Is she married?,False
262,What colour is a/an? A/an... is?,Ask me if she has any children.,Does she have any children?,False
263,What colour is a/an? A/an... is?,Ask me if she's pregnant.,is she pregnant?,False
264,What colour is a/an? A/an... is?,Ask me where she lives.,Where does she live?,False
265,What colour is a/an? A/an... is?,Ask me if she works.,Does she work?,False
266,What colour is a/an? A/an... is?,Ask me what her job is.,What is her job?,False
267,What colour is a/an? A/an... is?,Ask me if she likes it.,Does she like it?,False
268,What colour is a/an? A/an... is?,Ask me if my friend works alot.,Does your friend work alot?,False
269,What colour is a/an? A/an... is?,Ask me if she's a good dentist.,Is she a good dentist?,False
270,What colour is a/an? A/an... is?,Ask me she has her own practice.,Does she have her own practice?,False
271,What colour is a/an? A/an... is?,Ask me if she works at a hospital.,Does she work at a hospital?,False
272,What colour is a/an? A/an... is?,Ask me if she teaches.,Does she teach?,False
273,What colour is a/an? A/an... is?,Ask me if she's teaching.,Is she teaching?,False
274,What colour is a/an? A/an... is?,Ask me if she's a teacher.,Is she a teacher?,False
275,What colour is a/an? A/an... is?,TRANSFORM THE SENTENCES USING THE VERB TO STOP.,.,False
276,What colour is a/an? A/an... is?,He doesn't smoke anymore.,He has stopped smoking.,False
277,What colour is a/an? A/an... is?,She doesn't watch tv anymore.,She has stopped watching tv.,False
278,What colour is a/an? A/an... is?,They don't eat gluten anymore.,They have stopped eating gluten.,False
279,What colour is a/an? A/an... is?,I don't eat carbs anymore.,I have stopped eating carbs.,False
280,What colour is a/an? A/an... is?,She doesn't drink coke anymore.,She has stopped drinking coke.,False
313,Ronnie,WHAT SHOULD OR SHOULDN'T RONNIE DO,.,False
281,What colour is a/an? A/an... is?,You don't laugh anymore.,You have stopped laughing.,False
282,What colour is a/an? A/an... is?,They don't gamble anymore.,They have stopped gambling.,False
283,What colour is a/an? A/an... is?,He isn't friendly anymore.,He has stopped being friendly.,False
284,What colour is a/an? A/an... is?,He doesn't drive anymore.,He has stopped driving.,False
285,What colour is a/an? A/an... is?,It's not fun anymore.,It has stopped being fun.,False
286,What colour is a/an? A/an... is?,It's not funny anymore.,It has stopped being funny.,False
287,What colour is a/an? A/an... is?,He's not interesting anymore.,He has stopped being interesting.,False
288,What colour is a/an? A/an... is?,I don't like you anymore.,I have stopped liking you.,False
289,What colour is a/an? A/an... is?,He doesn't lie anymore.,He has stopped lying.,False
290,What colour is a/an? A/an... is?,We don't clean the house everyday anymore.,We have stopped cleaning the house everyday.,False
291,What colour is a/an? A/an... is?,She doesn't make mistakes anymore.,She has stopped making mistakes.,False
292,What colour is a/an? A/an... is?,He isn't chubby anymore.,He has stopped being chubby.,False
293,What colour is a/an? A/an... is?,I don't worry anymore.,I have stopped worrying.,False
294,What colour is a/an? A/an... is?,I'm not worreid anymore.,I have stopped being worried.,False
295,What colour is a/an? A/an... is?,He doesn't sleep in anymore.,He has stopped sleeping in.,False
296,What colour is a/an? A/an... is?,ASK WHY NOT IN A FULL QUESTION,.,False
297,What colour is a/an? A/an... is?,She isn't here today.,Why isn't she here today.,False
298,What colour is a/an? A/an... is?,She doesn't go there.,Why doesn't she go there.,False
299,What colour is a/an? A/an... is?,We don't play with them.,Why don't we play with them.,False
460,Ruth,Will you buy a new bike soon?,Yes I will.     No I won't.,False
314,Ronnie,Ronnie doesn't have any friends because he's unfriendly.,Ronnie should be friendly.       Ronnie shouldn't be unfriendly.,False
335,What colour is a/an? A/an... is?,How many cabinets are there?,There are...,False
337,What colour is a/an? A/an... is?,Are the plates in the cabinets?,Yes they are     No they aren't,False
338,What colour is a/an? A/an... is?,Are they on the shelves?,Yes they are     No they aren't,False
339,What colour is a/an? A/an... is?,Do you have alot of plates?,Yes I do.          No I don't,False
342,What colour is a/an? A/an... is?,Are there any padel courts in the park?,Yes there are.     No there aren't.,False
344,What colour is a/an? A/an... is?,Is the running track long?,Yes it is        No it isn't,False
346,What colour is a/an? A/an... is?,Do you have a football?,Yes I do.          No I don't,False
348,What colour is a/an? A/an... is?,How many trees are there?,There are...,False
352,What colour is a/an? A/an... is?,How long did the movie last?,The movie lasted...,False
353,What colour is a/an? A/an... is?,How long does a song last?,A song lasts...,False
357,What colour is a/an? A/an... is?,WHAT SHOULD/SHOULDN'T RONNIE DO?,RONNIE SHOULD.... RONNIE SHOULDN'T...,False
369,Ruth,Ask me if I was tall when I was 10 years old.,Were you tall when you were 10 years old?,False
377,Ruth,Ask me if I was popular when I was in high school,Were you popular when you were in High school?,False
379,Ruth,Ask me if my boyfriend/girlfriend was here yesterday.,Was your boyfriend/girlfriend here yesterday?,False
380,Ruth,Ask me if my friends were here yesterday.,Were your friends here yesterday?,False
382,Ruth,Do you know where I was born?,No I don't know where you were born.       Yes I do know where you were born.,False
383,Ruth,Ask me if I was born in Hamburg.,Were you born in Hamburg?,False
387,Ruth,Ask me how old my father was when I was born.,How old was your father when you were born?,False
389,Ruth,Where were you born?,I was born in...,False
393,Ruth,what time was your best friend born?,My best friend was born at...,False
396,What colour is a/an? A/an... is?,Ronnie is sad because he doesn't have any plans.,Ronnie should...      Ronnie shouldn't...,False
397,Ruth,Was Alfred Hitchcock a famous cook?,No he wasn't,False
398,Ruth,Was Andre Agassi a famous tennis player.,Yes he was,False
401,Ruth,Was I happy yesterday?,No you wern't            Yes you were,False
402,Ruth,Was Marilyn Monroe an actress?,Yes she was.,False
403,Ruth,Was there an earthquake in Spain yesterday?,Yes there was.          No there wasn't,False
404,Ruth,Was there an earthquake in Spain yesterday?,Yes there was.          No there wasn't,False
405,Ruth,Was yesterday the 26th?,Yes it was.       No it wasn't.,False
406,Ruth,Were you at the supermarket yesterday?,Yes I was.     No I wasn't.,False
409,Ruth,Were you popular at school?,Yes I was.     No I wasn't.,False
414,Ruth,When will you sleep in?,I'll sleep in...,False
415,Ruth,Where will I be at 10pm tonight?,You'll be... at 10pm tonight.,False
416,Ruth,Where will I be at 10pm tonight?,You'll be... at 10pm tonight.,False
417,Ruth,Where will the King of Spain be tomorrow at noon?,The King of Spain will be.... tomorrow at noon.,False
418,Ruth,Where will the King of Spain be tomorrow at noon?,The King of Spain will be.... tomorrow at noon.,False
421,Ruth,Where will your partner be in two hours?,He'll/She'll/They'll be...in two hours.,False
439,Ruth,WHO....? YOU OR ME?    BOTH OF US../NEITHER OF US..,.,False
441,Ruth,"Who's happy, you or me?",Both of us are happy.      Neither of us are happy.,False
442,Ruth,"Who's smiling, you or me?",Both of us are smiling.      Neither of us are smiling.,False
443,Ruth,"Who has a pen, you or me?",Both of us have a pen.      Neither of us have a pen.,False
447,Ruth,"Who likes pizza, you or me?",Both of us like pizza.      Neither of us like pizza.,False
449,Ruth,Do you go to work by bike?,Yes I do.   No I don't,False
453,Ruth,Is there a motor on your bike?,Yes there is.     No there isn't,False
454,Ruth,Are you going to go anywhere by bike tomorrow?,Yes I am     No I'm not,False
458,Ruth,Is there alot of traffic in Madrid?,Yes there is.     No there isn't,False
461,Ruth,Do you know how to paly chess?,Yes I do.          No I don't,False
462,Ruth,How often do you play chess?,.,False
463,Ruth,Do you like chess?,Yes I do.          No I don't,False
464,Ruth,Are you going to play chess this weekend?,Yes I am     No I'm not,False
465,Ruth,Can you play chess well?,Yes I can.     No I can't.,False
469,Ruth,"Is there a series called ""The Queens Gambit""?",Yes there is.     No there isn't.,False
